Film Name,Period,Release Date,Subject,Genre,Publisher,Awards,Language,Yellowface,Note
Broken Blossoms (aka The Yellowman and the Girl),Pre WWII,1919,"Fathers and daughters -- Drama
Chinese drama -- England -- London
Abused children -- England -- London -- Drama
Culture conflict -- England -- London -- Drama
Child abuse -- England -- London -- Drama
Racism in motion pictures -- Drama
Ethnic relations -- Drama
London (England) -- Ethnic relations -- Drama
Abused children
Child abuse
Chinese drama
Culture conflict
Death
Ethnic relations
Fathers and daughters
Racism in motion pictures
Revenge
England -- London
Father-daughter relationship -- Drama
Death -- Drama
Revenge -- Drama
Drama
Feature films
Silent films",Drama - Silent,,,English,Yes,
The Cheat,Pre WWII,1915,"Manslaughter -- Drama
Traffic fatalities -- Drama
Man-woman relationships -- Drama
Asian American men -- Drama
Women, White -- Drama
Murder -- Drama
Prostitution -- Drama
Extortion -- Drama
Miller, Alice Duer, 1874-1942 -- Film adaptations
Miller, Alice Duer, 1874-1942
Asian American men
Extortion
Man-woman relationships
Manslaughter
Murder
Prostitution
Traffic fatalities
Women, White
Drama
Silent films
Feature films
Fiction films
Film adaptations","
Drama.
Film adaptations.",,,English,Yes,Married woman borrows money from Japanese man who won't take back the money she owned upon returning it.
The Good Earth,Pre WWII,1919,,Silent,,,,,
,,,,,,,,,
Lost Horizon,Pre WWII,1937,,,,,,,
,,,,,,,,,
Air Force,WWII - 50s,1943,"World War, 1939-1945 -- Aerial operations, American -- Drama
B-17 bomber -- Drama
Bomber pilots -- Drama
United States Air Force -- Drama
Feature films
War films
Historical films
Video recordings for the hearing impaired",Drama,,Academy Award - 1943 Best Film Editing,,,"No Asian actor, just mentioned the depiction of Japanese-American"
The Bridge on the River Kwai,WWII - 50s,1957,"Burma-Siam Railroad -- Drama
Burma-Siam Railroad
Japanese Occupation of Burma (1942-1945)
World War (1939-1945)
World War, 1939-1945 -- Drama
World War, 1939-1945 -- Prisoners and prisons, Japanese -- Drama
World War, 1939-1945 -- Campaigns -- Burma -- Drama
Burma -- History -- Japanese occupation, 1942-1945 -- Drama
Military campaigns
Burma
1939-1945
Drama
History
Feature films
War films
Fiction films",Drama,,"Academy Award winner, 1957: best actor (Alec Guinness); best cinematography ; best directing ; best film editing ; best music (scoring) ; best motion picture ; best writing (screenplay-based on material from another medium).",,,
Bridges at Toko-Ri,WWII - 50s,1955,"Korean War (1950-1953)
World War (1939-1945)
Korean War, 1950-1953 -- Aerial operations -- Drama
World War, 1939-1945 -- Veterans -- Drama
Fighter pilots -- Drama
Fighter pilots
Military operations, Aerial
Veterans
1939-1953
Feature films
War films
Video recordings for the hearing impaired
Drama",Drama,,,,,
The Charlie Chan Chanthology,WWII - 50s,1944 - 1946,"Chan, Charlie (Fictitious character) -- Drama
Chan, Charlie (Fictitious character)
Drama
Detective and mystery films
Feature films
Video recordings for the hearing impaired",Drama,,,,,
